Village,District,Candidate,reg_voters,vote_pop,vote_male,vote_male96,vote_female,vote_female96,Treatment,Note
1,Kandi,Kerekou,1133,0.81,1,1,1,0.94,client,
2,Kandi,Kerekou,1109,0.6,0.35,0.6,0.82,0.7,program,
3,Kandi,Kerekou,3896,0.75,0.94,0.97,1,1,both,
4,Nikki,Kerekou,462,0.9,0.96,0.96,0.93,0.9,client,
5,Nikki,Kerekou,1090,0.85,1,1,1,1,program,
6,Nikki,Kerekou,2979,0.82,0.7,0.7,0.85,0.85,both,
7,Bembereke,Lafia,999,0.94,0.92,1,0.92,1,client,"To correct an apparent error in Table III.H of Watchekon (2002), the vote totals by gender for Kerekou and Saka Lafia have been transposed."
8,Bembereke,Lafia,931,0.93,0.85,0.9,1,0.77,program,"To correct an apparent error in Table III.H of Watchekon (2002), the vote totals by gender for Kerekou and Saka Lafia have been transposed."
9,Bembereke,Lafia,5204,0.74,0.91,0.95,0.92,0.87,both,"To correct an apparent error in Table III.H of Watchekon (2002), the vote totals by gender for Kerekou and Saka Lafia have been transposed."
10,Perere,Lafia,657,0.81,0.75,0.66,0.8,0.4,client,
11,Perere,Lafia,442,0.25,0.13,0.9,0.07,0.9,program,
12,Perere,Lafia,4477,0.58,0.57,0.86,0.14,1,both,
13,Abomey,Soglo,1172,0.91,0.97,1,1,1,client,
14,Abomey,Soglo,1199,0.9,0.94,1,1,1,program,
15,Abomey,Soglo,5204,0.86,0.7,1,0.82,1,both,
16,Ouidah,Soglo,321,0.86,0.86,0.9,0.97,0.94,client,
17,Ouidah,Soglo,701,0.72,0.81,0.88,1,1,program,
18,Ouidah,Soglo,2414,0.64,0.61,0.8,0.84,0.91,both,
19,Aplahoue,Amoussou,492,0.87,0.97,0.93,1,1,client,
20,Aplahoue,Amoussou,511,0.77,0.92,0.77,0.9,0.78,program,
21,Aplahoue,Amoussou,4037,0.72,0.97,1,1,1,both,
22,Dogbo,Amoussou,1397,0.65,0.58,0.25,0.78,0.37,client,
23,Dogbo,Amoussou,736,0.47,0.57,0.5,0.38,0.33,program,
24,Dogbo,Amoussou,1161,0.84,0.45,0.2,0.44,0.33,both,
